onset	duration	trial_type	stim_file
263.065	0.883	house	stimuli/visualarea_localizer/lcm/house10_lcm.png
264.081	0.900	house	stimuli/visualarea_localizer/lcm/house24_lcm.png
265.098	0.883	house	stimuli/visualarea_localizer/lcm/house08_lcm.png
266.014	0.900	house	stimuli/visualarea_localizer/lcm/house22_lcm.png
267.030	0.883	house	stimuli/visualarea_localizer/lcm/house06_lcm.png
276.011	0.900	scene	stimuli/visualarea_localizer/lcm/scene10_lcm.png
277.027	0.883	scene	stimuli/visualarea_localizer/lcm/scene17_lcm.png
278.043	0.900	scene	stimuli/visualarea_localizer/lcm/scene14_lcm.png
279.060	0.883	scene	stimuli/visualarea_localizer/lcm/scene11_lcm.png
280.076	0.899	scene	stimuli/visualarea_localizer/lcm/scene23_lcm.png
281.092	0.883	scene	stimuli/visualarea_localizer/lcm/scene12_lcm.png
282.109	0.900	scene	stimuli/visualarea_localizer/lcm/scene20_lcm.png
283.125	0.883	scene	stimuli/visualarea_localizer/lcm/scene01_lcm.png
284.025	0.900	scene	stimuli/visualarea_localizer/lcm/scene09_lcm.png
285.041	0.883	scene	stimuli/visualarea_localizer/lcm/scene06_lcm.png
286.058	0.899	scene	stimuli/visualarea_localizer/lcm/scene24_lcm.png
287.074	0.883	scene	stimuli/visualarea_localizer/lcm/scene03_lcm.png
288.090	0.899	scene	stimuli/visualarea_localizer/lcm/scene19_lcm.png
289.107	0.883	scene	stimuli/visualarea_localizer/lcm/scene18_lcm.png
290.023	0.900	scene	stimuli/visualarea_localizer/lcm/scene21_lcm.png
291.039	0.883	scene	stimuli/visualarea_localizer/lcm/scene16_lcm.png
